"Year","Month","Domestic Debt","External Debt","Total"
"2021","December","4,032,368.18","4,174,371.53","8,206,739.71"
"2021","November","4,008,077.30","4,109,282.85","8,117,360.15"
"2021","October","3,959,523.30","4,083,124.54","8,042,647.84"
"2021","September","3,937,777.45","4,062,504.78","8,000,282.23"
"2021","August","3,864,875.78","4,054,862.85","7,919,738.63"
"2021","July","3,792,146.89","4,020,629.30","7,812,776.19"
"2021","June","3,697,093.18","4,015,299.38","7,712,392.57"
"2021","May","3,686,891.72","3,799,018.81","7,485,910.53"
"2021","April","3,632,914.80","3,778,131.44","7,411,046.24"
"2021","March","3,569,840.57","3,769,866.74","7,339,707.31"
"2021","February","3,531,182.93","3,814,288.77","7,345,471.70"
"2021","January","3,532,561.52","3,819,699.66","7,352,261.18"
"2020","December","3,488,541.18","3,793,285.24","7,281,826.42"
"2020","November","3,482,653.56","3,771,808.47","7,254,462.03"
"2020","October","3,457,644.63","3,705,644.24","7,163,288.87"
"2020","September","3,457,106.50","3,663,491.22","7,120,597.72"
"2020","August","3,402,500.73","3,666,321.29","7,068,822.02"
"2020","July","3,273,551.44","3,638,506.49","6,912,057.93"
"2020","June","3,178,421.28","3,515,810.78","6,694,232.06"
"2020","May","3,153,143.94","3,496,428.84","6,649,572.77"
"2020","April","3,119,415.80","3,317,330.98","6,436,746.77"
"2020","March","3,070,189.38","3,212,634.23","6,282,823.61"
"2020","February","3,040,964.55","3,117,038.57","6,158,003.12"
"2020","January","3,003,700.30","3,112,897.95","6,116,598.25"
"2019","December","2,942,103.54","3,106,822.96","6,048,926.50"
"2019","November","2,917,362.29","3,114,959.69","6,032,321.98"
"2019","October","2,897,141.36","3,127,601.26","6,024,742.62"
"2019","September","2,851,639.21","3,111,767.28","5,963,406.49"
"2019","August","2,875,502.65","3,133,543.34","6,009,045.99"
"2019","July","2,843,666.89","3,160,057.46","6,003,724.35"
"2019","June","2,785,483.13","3,023,139.47","5,808,622.60"
"2019","May","2,772,613.71","2,834,844.04","5,607,457.75"
"2019","April","2,740,905.64","2,842,481.02","5,583,386.66"
"2019","March","2,702,933.27","2,721,597.46","5,424,530.74"
"2019","February","2,690,972.03","2,707,287.17","5,398,259.20"
"2019","January","2,604,189.40","2,729,478.57","5,333,667.97"
"2018","December","2,548,768.78","2,723,734.27","5,272,503.04"
"2018","November","2,563,418.63","2,709,008.39","5,272,427.03"
"2018","October","2,535,751.89","2,654,689.44","5,190,441.33"
"2018","September","2,540,833.74","2,605,334.58","5,146,168.32"
"2018","August","2,493,706.78","2,611,403.10","5,105,109.88"
"2018","July","2,513,046.50","2,601,071.15","5,114,117.65"
"2018","June","2,478,835.09","2,560,199.43","5,039,034.52"
"2018","May","2,447,575.21","2,573,126.24","5,020,701.44"
"2018","April","2,415,234.64","2,562,178.53","4,977,413.17"
"2018","March","2,371,650.53","2,512,430.94","4,884,081.46"
"2018","February","2,338,213.71","2,563,074.05","4,901,287.76"
"2018","January","2,247,295.02","2,377,522.47","4,624,817.49"
"2017","December","2,220,345.35","2,349,284.44","4,569,629.79"
"2017","November","2,228,429.02","2,357,226.48","4,585,655.50"
"2017","October","2,188,509.46","2,353,124.93","4,541,634.39"
"2017","September","2,172,835.15","2,310,198.99","4,483,034.13"
"2017","August","2,135,933.94","2,309,775.39","4,445,709.33"
"2017","July","2,123,788.59","2,305,538.33","4,429,326.92"
"2017","June","2,111,710.44","2,294,735.88","4,406,446.32"
"2017","May","2,045,471.63","2,187,224.33","4,232,695.96"
"2017","April","1,979,865.65","2,167,254.83","4,147,120.48"
"2017","March","1,945,253.27","2,159,068.94","4,104,322.21"
"2017","February","1,901,820.24","1,993,173.80","3,894,994.04"
